epoch_cnt: 0, time: 342.88s, tr_loss: 1.11, val_loss: 1.10, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.40, error_metric: 0.73, best_error_metric: 0.73, best_epoch : 0
epoch_cnt: 1, time: 306.92s, tr_loss: 1.07, val_loss: 1.09, F1_overall: 0.02, ER_overall: 0.99, doa_error_gt: 1.00, doa_error_pred: 0.44, good_pks_ratio:0.41, error_metric: 0.72, best_error_metric: 0.72, best_epoch : 1
epoch_cnt: 2, time: 308.83s, tr_loss: 1.05, val_loss: 1.07, F1_overall: 0.22, ER_overall: 0.87, doa_error_gt: 1.00, doa_error_pred: 0.84, good_pks_ratio:0.49, error_metric: 0.62, best_error_metric: 0.62, best_epoch : 2
epoch_cnt: 3, time: 306.91s, tr_loss: 1.01, val_loss: 0.99, F1_overall: 0.47, ER_overall: 0.67, doa_error_gt: 0.96, doa_error_pred: 0.84, good_pks_ratio:0.61, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 3
epoch_cnt: 4, time: 305.65s, tr_loss: 0.88, val_loss: 0.84, F1_overall: 0.66, ER_overall: 0.49, doa_error_gt: 0.86, doa_error_pred: 0.74, good_pks_ratio:0.73, error_metric: 0.35, best_error_metric: 0.35, best_epoch : 4
epoch_cnt: 5, time: 304.06s, tr_loss: 0.79, val_loss: 0.81, F1_overall: 0.75, ER_overall: 0.37, doa_error_gt: 0.85, doa_error_pred: 0.74, good_pks_ratio:0.78, error_metric: 0.28, best_error_metric: 0.28, best_epoch : 5
epoch_cnt: 6, time: 308.23s, tr_loss: 0.74, val_loss: 0.78, F1_overall: 0.80, ER_overall: 0.32, doa_error_gt: 0.85, doa_error_pred: 0.73, good_pks_ratio:0.81, error_metric: 0.25, best_error_metric: 0.25, best_epoch : 6
epoch_cnt: 7, time: 311.50s, tr_loss: 0.67, val_loss: 0.65, F1_overall: 0.81, ER_overall: 0.30, doa_error_gt: 0.73, doa_error_pred: 0.63, good_pks_ratio:0.82, error_metric: 0.23, best_error_metric: 0.23, best_epoch : 7
epoch_cnt: 8, time: 310.54s, tr_loss: 0.54, val_loss: 0.61, F1_overall: 0.81, ER_overall: 0.30, doa_error_gt: 0.69, doa_error_pred: 0.60, good_pks_ratio:0.84, error_metric: 0.22, best_error_metric: 0.22, best_epoch : 8
epoch_cnt: 9, time: 310.44s, tr_loss: 0.50, val_loss: 0.58, F1_overall: 0.81, ER_overall: 0.31, doa_error_gt: 0.67, doa_error_pred: 0.58, good_pks_ratio:0.84, error_metric: 0.22, best_error_metric: 0.22, best_epoch : 9
epoch_cnt: 10, time: 312.59s, tr_loss: 0.47, val_loss: 0.56, F1_overall: 0.83, ER_overall: 0.27, doa_error_gt: 0.63, doa_error_pred: 0.55, good_pks_ratio:0.85, error_metric: 0.20, best_error_metric: 0.20, best_epoch : 10
epoch_cnt: 11, time: 311.62s, tr_loss: 0.42, val_loss: 0.48, F1_overall: 0.84, ER_overall: 0.25, doa_error_gt: 0.56, doa_error_pred: 0.47, good_pks_ratio:0.83, error_metric: 0.19, best_error_metric: 0.19, best_epoch : 11
epoch_cnt: 12, time: 311.28s, tr_loss: 0.32, val_loss: 0.41, F1_overall: 0.85, ER_overall: 0.25, doa_error_gt: 0.48, doa_error_pred: 0.40, good_pks_ratio:0.86, error_metric: 0.17, best_error_metric: 0.17, best_epoch : 12
epoch_cnt: 13, time: 311.30s, tr_loss: 0.28, val_loss: 0.35, F1_overall: 0.86, ER_overall: 0.24, doa_error_gt: 0.43, doa_error_pred: 0.36, good_pks_ratio:0.86, error_metric: 0.16, best_error_metric: 0.16, best_epoch : 13
epoch_cnt: 14, time: 310.97s, tr_loss: 0.24, val_loss: 0.37, F1_overall: 0.84, ER_overall: 0.26, doa_error_gt: 0.42, doa_error_pred: 0.35, good_pks_ratio:0.87, error_metric: 0.17, best_error_metric: 0.16, best_epoch : 13
epoch_cnt: 15, time: 311.86s, tr_loss: 0.23, val_loss: 0.35, F1_overall: 0.86, ER_overall: 0.23, doa_error_gt: 0.39, doa_error_pred: 0.33, good_pks_ratio:0.87, error_metric: 0.16, best_error_metric: 0.16, best_epoch : 15
epoch_cnt: 16, time: 311.09s, tr_loss: 0.22, val_loss: 0.39, F1_overall: 0.84, ER_overall: 0.27, doa_error_gt: 0.42, doa_error_pred: 0.34, good_pks_ratio:0.85, error_metric: 0.18, best_error_metric: 0.16, best_epoch : 15
epoch_cnt: 17, time: 309.84s, tr_loss: 0.21, val_loss: 0.33, F1_overall: 0.86, ER_overall: 0.24, doa_error_gt: 0.37, doa_error_pred: 0.32, good_pks_ratio:0.88, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 17
epoch_cnt: 18, time: 316.15s, tr_loss: 0.21, val_loss: 0.33, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.38, doa_error_pred: 0.32, good_pks_ratio:0.87, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 17
epoch_cnt: 19, time: 314.02s, tr_loss: 0.21, val_loss: 0.34, F1_overall: 0.86, ER_overall: 0.24, doa_error_gt: 0.37, doa_error_pred: 0.31, good_pks_ratio:0.88, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 17
epoch_cnt: 20, time: 312.27s, tr_loss: 0.19, val_loss: 0.32, F1_overall: 0.86, ER_overall: 0.25, doa_error_gt: 0.35, doa_error_pred: 0.30, good_pks_ratio:0.89, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 20
epoch_cnt: 21, time: 309.89s, tr_loss: 0.17, val_loss: 0.43, F1_overall: 0.81, ER_overall: 0.31, doa_error_gt: 0.45, doa_error_pred: 0.37, good_pks_ratio:0.85, error_metric: 0.20, best_error_metric: 0.15, best_epoch : 20
epoch_cnt: 22, time: 310.98s, tr_loss: 0.19, val_loss: 0.30, F1_overall: 0.86, ER_overall: 0.23, doa_error_gt: 0.35, doa_error_pred: 0.29, good_pks_ratio:0.89, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 22
epoch_cnt: 23, time: 310.41s, tr_loss: 0.17, val_loss: 0.35, F1_overall: 0.84, ER_overall: 0.27, doa_error_gt: 0.38, doa_error_pred: 0.31, good_pks_ratio:0.89, error_metric: 0.17, best_error_metric: 0.15, best_epoch : 22
epoch_cnt: 24, time: 310.62s, tr_loss: 0.19, val_loss: 0.32, F1_overall: 0.85, ER_overall: 0.24, doa_error_gt: 0.36, doa_error_pred: 0.29, good_pks_ratio:0.89, error_metric: 0.15, best_error_metric: 0.15, best_epoch : 22
epoch_cnt: 25, time: 311.41s, tr_loss: 0.17, val_loss: 0.30, F1_overall: 0.87, ER_overall: 0.22, doa_error_gt: 0.34, doa_error_pred: 0.28, good_pks_ratio:0.90, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 25
epoch_cnt: 26, time: 312.54s, tr_loss: 0.15, val_loss: 0.29, F1_overall: 0.87, ER_overall: 0.23, doa_error_gt: 0.34, doa_error_pred: 0.30, good_pks_ratio:0.91, error_metric: 0.14, best_error_metric: 0.14, best_epoch : 26
