epoch_cnt: 0, time: 304.49s, tr_loss: 1.11, val_loss: 1.11, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.40, error_metric: 0.73, best_error_metric: 0.73, best_epoch : 0
epoch_cnt: 1, time: 301.50s, tr_loss: 1.07, val_loss: 1.09, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.40, error_metric: 0.73, best_error_metric: 0.73, best_epoch : 1
epoch_cnt: 2, time: 297.51s, tr_loss: 1.06, val_loss: 1.08, F1_overall: 0.10, ER_overall: 0.95, doa_error_gt: 1.00, doa_error_pred: 0.81, good_pks_ratio:0.41, error_metric: 0.69, best_error_metric: 0.69, best_epoch : 2
epoch_cnt: 3, time: 296.46s, tr_loss: 1.03, val_loss: 0.99, F1_overall: 0.32, ER_overall: 0.80, doa_error_gt: 0.94, doa_error_pred: 0.72, good_pks_ratio:0.53, error_metric: 0.57, best_error_metric: 0.57, best_epoch : 3
epoch_cnt: 4, time: 296.62s, tr_loss: 0.92, val_loss: 0.92, F1_overall: 0.50, ER_overall: 0.68, doa_error_gt: 0.88, doa_error_pred: 0.63, good_pks_ratio:0.71, error_metric: 0.44, best_error_metric: 0.44, best_epoch : 4
epoch_cnt: 5, time: 295.73s, tr_loss: 0.82, val_loss: 0.77, F1_overall: 0.66, ER_overall: 0.53, doa_error_gt: 0.81, doa_error_pred: 0.66, good_pks_ratio:0.76, error_metric: 0.34, best_error_metric: 0.34, best_epoch : 5
epoch_cnt: 6, time: 297.96s, tr_loss: 0.68, val_loss: 0.71, F1_overall: 0.67, ER_overall: 0.58, doa_error_gt: 0.74, doa_error_pred: 0.59, good_pks_ratio:0.82, error_metric: 0.33, best_error_metric: 0.33, best_epoch : 6
epoch_cnt: 7, time: 299.74s, tr_loss: 0.57, val_loss: 0.61, F1_overall: 0.70, ER_overall: 0.53, doa_error_gt: 0.68, doa_error_pred: 0.56, good_pks_ratio:0.84, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 7
epoch_cnt: 8, time: 297.81s, tr_loss: 0.50, val_loss: 0.56, F1_overall: 0.76, ER_overall: 0.47, doa_error_gt: 0.66, doa_error_pred: 0.56, good_pks_ratio:0.87, error_metric: 0.26, best_error_metric: 0.26, best_epoch : 8
epoch_cnt: 9, time: 359.59s, tr_loss: 0.46, val_loss: 0.58, F1_overall: 0.75, ER_overall: 0.49, doa_error_gt: 0.66, doa_error_pred: 0.56, good_pks_ratio:0.90, error_metric: 0.27, best_error_metric: 0.26, best_epoch : 8
epoch_cnt: 10, time: 421.63s, tr_loss: 0.43, val_loss: 0.53, F1_overall: 0.79, ER_overall: 0.40, doa_error_gt: 0.63, doa_error_pred: 0.56, good_pks_ratio:0.90, error_metric: 0.23, best_error_metric: 0.23, best_epoch : 10
epoch_cnt: 11, time: 516.03s, tr_loss: 0.41, val_loss: 0.49, F1_overall: 0.82, ER_overall: 0.36, doa_error_gt: 0.61, doa_error_pred: 0.55, good_pks_ratio:0.93, error_metric: 0.20, best_error_metric: 0.20, best_epoch : 11
epoch_cnt: 12, time: 572.00s, tr_loss: 0.38, val_loss: 0.49, F1_overall: 0.80, ER_overall: 0.39, doa_error_gt: 0.58, doa_error_pred: 0.51, good_pks_ratio:0.92, error_metric: 0.21, best_error_metric: 0.20, best_epoch : 11
