epoch_cnt: 0, time: 314.63s, tr_loss: 4.72, val_loss: 4.77, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 0
epoch_cnt: 1, time: 304.27s, tr_loss: 4.70, val_loss: 4.77, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 2, time: 306.01s, tr_loss: 4.70, val_loss: 4.75, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 2
epoch_cnt: 3, time: 311.84s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 2
epoch_cnt: 4, time: 305.14s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 2
epoch_cnt: 5, time: 304.78s, tr_loss: 4.70, val_loss: 4.75, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 2
epoch_cnt: 6, time: 323.04s, tr_loss: 4.70, val_loss: 4.75, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 1.03, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 6
epoch_cnt: 7, time: 409.08s, tr_loss: 4.70, val_loss: 4.75, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 6
epoch_cnt: 8, time: 518.33s, tr_loss: 4.68, val_loss: 4.74, F1_overall: 0.09, ER_overall: 0.95, doa_error_gt: 1.00, doa_error_pred: 0.56, good_pks_ratio:0.04, error_metric: 0.79, best_error_metric: 0.79, best_epoch : 8
epoch_cnt: 9, time: 554.52s, tr_loss: 4.61, val_loss: 4.57, F1_overall: 0.02, ER_overall: 0.99, doa_error_gt: 0.96, doa_error_pred: 0.43, good_pks_ratio:0.03, error_metric: 0.82, best_error_metric: 0.79, best_epoch : 8
epoch_cnt: 10, time: 876.33s, tr_loss: 4.50, val_loss: 4.57, F1_overall: 0.15, ER_overall: 0.92, doa_error_gt: 0.96, doa_error_pred: 0.62, good_pks_ratio:0.07, error_metric: 0.75, best_error_metric: 0.75, best_epoch : 10
epoch_cnt: 11, time: 336.01s, tr_loss: 4.47, val_loss: 4.49, F1_overall: 0.26, ER_overall: 0.84, doa_error_gt: 0.95, doa_error_pred: 0.64, good_pks_ratio:0.12, error_metric: 0.70, best_error_metric: 0.70, best_epoch : 11
epoch_cnt: 12, time: 329.66s, tr_loss: 4.42, val_loss: 4.45, F1_overall: 0.31, ER_overall: 0.79, doa_error_gt: 0.94, doa_error_pred: 0.59, good_pks_ratio:0.16, error_metric: 0.66, best_error_metric: 0.66, best_epoch : 12
epoch_cnt: 13, time: 325.19s, tr_loss: 4.33, val_loss: 4.33, F1_overall: 0.33, ER_overall: 0.78, doa_error_gt: 0.91, doa_error_pred: 0.62, good_pks_ratio:0.16, error_metric: 0.65, best_error_metric: 0.65, best_epoch : 13
epoch_cnt: 14, time: 323.22s, tr_loss: 4.23, val_loss: 4.26, F1_overall: 0.38, ER_overall: 0.73, doa_error_gt: 0.90, doa_error_pred: 0.60, good_pks_ratio:0.17, error_metric: 0.62, best_error_metric: 0.62, best_epoch : 14
epoch_cnt: 15, time: 322.05s, tr_loss: 4.18, val_loss: 4.23, F1_overall: 0.42, ER_overall: 0.70, doa_error_gt: 0.90, doa_error_pred: 0.63, good_pks_ratio:0.17, error_metric: 0.60, best_error_metric: 0.60, best_epoch : 15
epoch_cnt: 16, time: 320.88s, tr_loss: 4.12, val_loss: 4.19, F1_overall: 0.43, ER_overall: 0.69, doa_error_gt: 0.90, doa_error_pred: 0.66, good_pks_ratio:0.16, error_metric: 0.60, best_error_metric: 0.60, best_epoch : 16
epoch_cnt: 17, time: 320.78s, tr_loss: 4.05, val_loss: 4.22, F1_overall: 0.49, ER_overall: 0.63, doa_error_gt: 0.87, doa_error_pred: 0.62, good_pks_ratio:0.29, error_metric: 0.53, best_error_metric: 0.53, best_epoch : 17
epoch_cnt: 18, time: 319.11s, tr_loss: 3.99, val_loss: 4.11, F1_overall: 0.49, ER_overall: 0.64, doa_error_gt: 0.89, doa_error_pred: 0.69, good_pks_ratio:0.17, error_metric: 0.57, best_error_metric: 0.53, best_epoch : 17
epoch_cnt: 19, time: 318.16s, tr_loss: 3.94, val_loss: 4.03, F1_overall: 0.50, ER_overall: 0.62, doa_error_gt: 0.87, doa_error_pred: 0.67, good_pks_ratio:0.19, error_metric: 0.56, best_error_metric: 0.53, best_epoch : 17
epoch_cnt: 20, time: 327.60s, tr_loss: 3.89, val_loss: 4.09, F1_overall: 0.49, ER_overall: 0.63, doa_error_gt: 0.87, doa_error_pred: 0.66, good_pks_ratio:0.19, error_metric: 0.56, best_error_metric: 0.53, best_epoch : 17
epoch_cnt: 21, time: 319.36s, tr_loss: 3.84, val_loss: 4.10, F1_overall: 0.51, ER_overall: 0.61, doa_error_gt: 0.87, doa_error_pred: 0.65, good_pks_ratio:0.22, error_metric: 0.54, best_error_metric: 0.53, best_epoch : 17
