Relying on driver to perform ptx compilation. This message will be only logged once.
epoch_cnt: 0, time: 315.67s, tr_loss: 2.93, val_loss: 2.98, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.12, good_pks_ratio:0.07, error_metric: 0.82, best_error_metric: 0.82, best_epoch : 0
epoch_cnt: 1, time: 306.20s, tr_loss: 2.89, val_loss: 2.95, F1_overall: 0.26, ER_overall: 0.85, doa_error_gt: 1.00, doa_error_pred: 0.99, good_pks_ratio:0.11, error_metric: 0.70, best_error_metric: 0.70, best_epoch : 1
epoch_cnt: 2, time: 307.45s, tr_loss: 2.76, val_loss: 2.74, F1_overall: 0.38, ER_overall: 0.74, doa_error_gt: 0.94, doa_error_pred: 0.74, good_pks_ratio:0.18, error_metric: 0.62, best_error_metric: 0.62, best_epoch : 2
epoch_cnt: 3, time: 307.81s, tr_loss: 2.64, val_loss: 2.69, F1_overall: 0.40, ER_overall: 0.72, doa_error_gt: 0.93, doa_error_pred: 0.72, good_pks_ratio:0.22, error_metric: 0.60, best_error_metric: 0.60, best_epoch : 3
epoch_cnt: 4, time: 308.71s, tr_loss: 2.58, val_loss: 2.71, F1_overall: 0.51, ER_overall: 0.62, doa_error_gt: 0.93, doa_error_pred: 0.74, good_pks_ratio:0.21, error_metric: 0.55, best_error_metric: 0.55, best_epoch : 4
epoch_cnt: 5, time: 307.83s, tr_loss: 2.52, val_loss: 2.63, F1_overall: 0.54, ER_overall: 0.59, doa_error_gt: 0.91, doa_error_pred: 0.73, good_pks_ratio:0.26, error_metric: 0.52, best_error_metric: 0.52, best_epoch : 5
epoch_cnt: 6, time: 339.02s, tr_loss: 2.45, val_loss: 2.45, F1_overall: 0.62, ER_overall: 0.52, doa_error_gt: 0.87, doa_error_pred: 0.67, good_pks_ratio:0.33, error_metric: 0.46, best_error_metric: 0.46, best_epoch : 6
epoch_cnt: 7, time: 551.98s, tr_loss: 2.29, val_loss: 2.33, F1_overall: 0.66, ER_overall: 0.47, doa_error_gt: 0.84, doa_error_pred: 0.65, good_pks_ratio:0.37, error_metric: 0.43, best_error_metric: 0.43, best_epoch : 7
epoch_cnt: 8, time: 752.93s, tr_loss: 2.18, val_loss: 2.26, F1_overall: 0.68, ER_overall: 0.47, doa_error_gt: 0.82, doa_error_pred: 0.63, good_pks_ratio:0.42, error_metric: 0.41, best_error_metric: 0.41, best_epoch : 8
epoch_cnt: 9, time: 1034.49s, tr_loss: 2.09, val_loss: 2.18, F1_overall: 0.71, ER_overall: 0.43, doa_error_gt: 0.80, doa_error_pred: 0.63, good_pks_ratio:0.45, error_metric: 0.38, best_error_metric: 0.38, best_epoch : 9
epoch_cnt: 10, time: 1026.35s, tr_loss: 2.01, val_loss: 2.15, F1_overall: 0.73, ER_overall: 0.43, doa_error_gt: 0.79, doa_error_pred: 0.62, good_pks_ratio:0.46, error_metric: 0.37, best_error_metric: 0.37, best_epoch : 10
epoch_cnt: 11, time: 796.74s, tr_loss: 1.94, val_loss: 2.07, F1_overall: 0.74, ER_overall: 0.40, doa_error_gt: 0.78, doa_error_pred: 0.62, good_pks_ratio:0.47, error_metric: 0.36, best_error_metric: 0.36, best_epoch : 11
epoch_cnt: 12, time: 322.56s, tr_loss: 1.87, val_loss: 2.03, F1_overall: 0.74, ER_overall: 0.44, doa_error_gt: 0.76, doa_error_pred: 0.61, good_pks_ratio:0.50, error_metric: 0.36, best_error_metric: 0.36, best_epoch : 11
epoch_cnt: 13, time: 311.89s, tr_loss: 1.81, val_loss: 1.99, F1_overall: 0.76, ER_overall: 0.38, doa_error_gt: 0.76, doa_error_pred: 0.61, good_pks_ratio:0.50, error_metric: 0.34, best_error_metric: 0.34, best_epoch : 13
epoch_cnt: 14, time: 312.43s, tr_loss: 1.77, val_loss: 1.99, F1_overall: 0.75, ER_overall: 0.40, doa_error_gt: 0.75, doa_error_pred: 0.60, good_pks_ratio:0.51, error_metric: 0.35, best_error_metric: 0.34, best_epoch : 13
epoch_cnt: 15, time: 306.54s, tr_loss: 1.73, val_loss: 1.93, F1_overall: 0.77, ER_overall: 0.39, doa_error_gt: 0.74, doa_error_pred: 0.60, good_pks_ratio:0.52, error_metric: 0.33, best_error_metric: 0.33, best_epoch : 15
epoch_cnt: 16, time: 307.46s, tr_loss: 1.69, val_loss: 1.90, F1_overall: 0.78, ER_overall: 0.37, doa_error_gt: 0.73, doa_error_pred: 0.59, good_pks_ratio:0.53, error_metric: 0.33, best_error_metric: 0.33, best_epoch : 16
epoch_cnt: 17, time: 309.81s, tr_loss: 1.66, val_loss: 1.94, F1_overall: 0.76, ER_overall: 0.41, doa_error_gt: 0.73, doa_error_pred: 0.58, good_pks_ratio:0.53, error_metric: 0.34, best_error_metric: 0.33, best_epoch : 16
epoch_cnt: 18, time: 310.75s, tr_loss: 1.61, val_loss: 1.89, F1_overall: 0.76, ER_overall: 0.41, doa_error_gt: 0.71, doa_error_pred: 0.56, good_pks_ratio:0.54, error_metric: 0.33, best_error_metric: 0.33, best_epoch : 16
epoch_cnt: 19, time: 306.78s, tr_loss: 1.54, val_loss: 1.81, F1_overall: 0.76, ER_overall: 0.42, doa_error_gt: 0.68, doa_error_pred: 0.53, good_pks_ratio:0.54, error_metric: 0.34, best_error_metric: 0.33, best_epoch : 16
epoch_cnt: 20, time: 308.10s, tr_loss: 1.45, val_loss: 1.71, F1_overall: 0.79, ER_overall: 0.37, doa_error_gt: 0.65, doa_error_pred: 0.50, good_pks_ratio:0.54, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 20
epoch_cnt: 21, time: 307.51s, tr_loss: 1.37, val_loss: 1.70, F1_overall: 0.78, ER_overall: 0.38, doa_error_gt: 0.63, doa_error_pred: 0.48, good_pks_ratio:0.54, error_metric: 0.32, best_error_metric: 0.31, best_epoch : 20
epoch_cnt: 22, time: 305.37s, tr_loss: 1.31, val_loss: 1.69, F1_overall: 0.76, ER_overall: 0.41, doa_error_gt: 0.62, doa_error_pred: 0.48, good_pks_ratio:0.55, error_metric: 0.32, best_error_metric: 0.31, best_epoch : 20
epoch_cnt: 23, time: 308.06s, tr_loss: 1.26, val_loss: 1.64, F1_overall: 0.78, ER_overall: 0.40, doa_error_gt: 0.60, doa_error_pred: 0.46, good_pks_ratio:0.56, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 23
epoch_cnt: 24, time: 307.03s, tr_loss: 1.22, val_loss: 1.65, F1_overall: 0.78, ER_overall: 0.39, doa_error_gt: 0.61, doa_error_pred: 0.47, good_pks_ratio:0.57, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 24
epoch_cnt: 25, time: 304.76s, tr_loss: 1.18, val_loss: 1.62, F1_overall: 0.78, ER_overall: 0.39, doa_error_gt: 0.59, doa_error_pred: 0.46, good_pks_ratio:0.58, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 25
epoch_cnt: 26, time: 305.42s, tr_loss: 1.15, val_loss: 1.59, F1_overall: 0.78, ER_overall: 0.38, doa_error_gt: 0.58, doa_error_pred: 0.44, good_pks_ratio:0.57, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 26
epoch_cnt: 27, time: 305.06s, tr_loss: 1.12, val_loss: 1.59, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.58, doa_error_pred: 0.45, good_pks_ratio:0.58, error_metric: 0.31, best_error_metric: 0.31, best_epoch : 26
epoch_cnt: 28, time: 306.60s, tr_loss: 1.10, val_loss: 1.51, F1_overall: 0.79, ER_overall: 0.38, doa_error_gt: 0.56, doa_error_pred: 0.43, good_pks_ratio:0.58, error_metric: 0.30, best_error_metric: 0.30, best_epoch : 28
