epoch_cnt: 0, time: 316.97s, tr_loss: 4.72, val_loss: 4.77, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 0
epoch_cnt: 1, time: 316.99s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 2, time: 320.41s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 3, time: 318.56s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 4, time: 317.42s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 5, time: 319.19s, tr_loss: 4.70, val_loss: 4.76, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 1
epoch_cnt: 6, time: 320.90s, tr_loss: 4.69, val_loss: 4.74, F1_overall: 0.00, ER_overall: 1.00, doa_error_gt: 1.00, doa_error_pred: 0.00, good_pks_ratio:0.03, error_metric: 0.83, best_error_metric: 0.83, best_epoch : 6
epoch_cnt: 7, time: 322.52s, tr_loss: 4.67, val_loss: 4.73, F1_overall: 0.17, ER_overall: 0.90, doa_error_gt: 1.00, doa_error_pred: 0.54, good_pks_ratio:0.07, error_metric: 0.75, best_error_metric: 0.75, best_epoch : 7
epoch_cnt: 8, time: 321.01s, tr_loss: 4.66, val_loss: 4.72, F1_overall: 0.23, ER_overall: 0.86, doa_error_gt: 1.00, doa_error_pred: 0.73, good_pks_ratio:0.05, error_metric: 0.73, best_error_metric: 0.73, best_epoch : 8
epoch_cnt: 9, time: 320.76s, tr_loss: 4.64, val_loss: 4.63, F1_overall: 0.19, ER_overall: 0.89, doa_error_gt: 0.99, doa_error_pred: 0.80, good_pks_ratio:0.05, error_metric: 0.74, best_error_metric: 0.73, best_epoch : 8
epoch_cnt: 10, time: 320.62s, tr_loss: 4.48, val_loss: 4.53, F1_overall: 0.40, ER_overall: 0.73, doa_error_gt: 0.96, doa_error_pred: 0.57, good_pks_ratio:0.21, error_metric: 0.61, best_error_metric: 0.61, best_epoch : 10
epoch_cnt: 11, time: 317.24s, tr_loss: 4.43, val_loss: 4.51, F1_overall: 0.38, ER_overall: 0.74, doa_error_gt: 0.96, doa_error_pred: 0.69, good_pks_ratio:0.13, error_metric: 0.64, best_error_metric: 0.61, best_epoch : 10
epoch_cnt: 12, time: 321.91s, tr_loss: 4.39, val_loss: 4.45, F1_overall: 0.44, ER_overall: 0.67, doa_error_gt: 0.95, doa_error_pred: 0.67, good_pks_ratio:0.18, error_metric: 0.59, best_error_metric: 0.59, best_epoch : 12
epoch_cnt: 13, time: 313.00s, tr_loss: 4.36, val_loss: 4.43, F1_overall: 0.43, ER_overall: 0.69, doa_error_gt: 0.94, doa_error_pred: 0.67, good_pks_ratio:0.17, error_metric: 0.60, best_error_metric: 0.59, best_epoch : 12
epoch_cnt: 14, time: 309.98s, tr_loss: 4.24, val_loss: 4.28, F1_overall: 0.45, ER_overall: 0.66, doa_error_gt: 0.91, doa_error_pred: 0.68, good_pks_ratio:0.17, error_metric: 0.59, best_error_metric: 0.59, best_epoch : 14
epoch_cnt: 15, time: 310.61s, tr_loss: 4.12, val_loss: 4.24, F1_overall: 0.49, ER_overall: 0.63, doa_error_gt: 0.90, doa_error_pred: 0.66, good_pks_ratio:0.23, error_metric: 0.55, best_error_metric: 0.55, best_epoch : 15
epoch_cnt: 16, time: 309.81s, tr_loss: 4.07, val_loss: 4.24, F1_overall: 0.51, ER_overall: 0.62, doa_error_gt: 0.89, doa_error_pred: 0.66, good_pks_ratio:0.24, error_metric: 0.54, best_error_metric: 0.54, best_epoch : 16
epoch_cnt: 17, time: 307.89s, tr_loss: 4.01, val_loss: 4.15, F1_overall: 0.54, ER_overall: 0.59, doa_error_gt: 0.89, doa_error_pred: 0.64, good_pks_ratio:0.27, error_metric: 0.52, best_error_metric: 0.52, best_epoch : 17
epoch_cnt: 18, time: 309.82s, tr_loss: 3.93, val_loss: 4.14, F1_overall: 0.56, ER_overall: 0.60, doa_error_gt: 0.87, doa_error_pred: 0.64, good_pks_ratio:0.26, error_metric: 0.52, best_error_metric: 0.52, best_epoch : 18
epoch_cnt: 19, time: 307.98s, tr_loss: 3.85, val_loss: 4.08, F1_overall: 0.57, ER_overall: 0.58, doa_error_gt: 0.87, doa_error_pred: 0.64, good_pks_ratio:0.29, error_metric: 0.50, best_error_metric: 0.50, best_epoch : 19
epoch_cnt: 20, time: 316.85s, tr_loss: 3.79, val_loss: 4.04, F1_overall: 0.56, ER_overall: 0.57, doa_error_gt: 0.87, doa_error_pred: 0.63, good_pks_ratio:0.26, error_metric: 0.51, best_error_metric: 0.50, best_epoch : 19
epoch_cnt: 21, time: 308.28s, tr_loss: 3.72, val_loss: 4.07, F1_overall: 0.58, ER_overall: 0.57, doa_error_gt: 0.86, doa_error_pred: 0.64, good_pks_ratio:0.31, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 21
epoch_cnt: 22, time: 307.09s, tr_loss: 3.66, val_loss: 4.07, F1_overall: 0.55, ER_overall: 0.59, doa_error_gt: 0.86, doa_error_pred: 0.63, good_pks_ratio:0.26, error_metric: 0.51, best_error_metric: 0.49, best_epoch : 21
epoch_cnt: 23, time: 306.05s, tr_loss: 3.60, val_loss: 4.11, F1_overall: 0.58, ER_overall: 0.58, doa_error_gt: 0.87, doa_error_pred: 0.64, good_pks_ratio:0.30, error_metric: 0.50, best_error_metric: 0.49, best_epoch : 21
epoch_cnt: 24, time: 303.82s, tr_loss: 3.53, val_loss: 3.95, F1_overall: 0.59, ER_overall: 0.56, doa_error_gt: 0.84, doa_error_pred: 0.63, good_pks_ratio:0.28, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 24
epoch_cnt: 25, time: 304.02s, tr_loss: 3.48, val_loss: 3.96, F1_overall: 0.60, ER_overall: 0.57, doa_error_gt: 0.84, doa_error_pred: 0.61, good_pks_ratio:0.30, error_metric: 0.49, best_error_metric: 0.49, best_epoch : 25
epoch_cnt: 26, time: 306.55s, tr_loss: 3.44, val_loss: 3.92, F1_overall: 0.61, ER_overall: 0.56, doa_error_gt: 0.84, doa_error_pred: 0.61, good_pks_ratio:0.32, error_metric: 0.48, best_error_metric: 0.48, best_epoch : 26
epoch_cnt: 27, time: 306.41s, tr_loss: 3.40, val_loss: 3.96, F1_overall: 0.60, ER_overall: 0.56, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.29, error_metric: 0.49, best_error_metric: 0.48, best_epoch : 26
